name0,name1,name2,name3,amounts_inrcr,amounts_usdb
"Ministry of Home Affairs
Demand No. 57
Transfers to Delhi",TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,Central Assistance to Union Territories,951.0,0.11188235294117647
"Ministry of Home Affairs
Demand No. 57
Transfers to Delhi",TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,Additional Central Assistance for Externally Aided Projects (Chandrawal water treatment Plant),200.01,0.02353058823529412
"Ministry of Home Affairs
Demand No. 57
Transfers to Delhi",TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,Grants towards contribution to Union Territory Disaster Response Fund,15.0,0.0017647058823529412
"Ministry of Home Affairs
Demand No. 57
Transfers to Delhi",TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,Enhanced compensation to 1984 riots victims,2.0,0.00023529411764705883
