name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Ministry of Chemicals and Fertilisers
Demand No. 6
Department of Fertilisers",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Urea Subsidy,,131100.12,15.423543529411765
"Ministry of Chemicals and Fertilisers
Demand No. 6
Department of Fertilisers",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Nutrient Based Subsidy,Payment for Indigenous P and K Fertilizers,25500.0,3.0
"Ministry of Chemicals and Fertilisers
Demand No. 6
Department of Fertilisers",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Nutrient Based Subsidy,Payment for Imported P and K Fertilizers,18500.0,2.1764705882352944
"Ministry of Chemicals and Fertilisers
Demand No. 6
Department of Fertilisers",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Scheme for promotion of flagging of merchant ships in India,,3.25,0.0003823529411764706
"Ministry of Chemicals and Fertilisers
Demand No. 6
Department of Fertilisers",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,,,0.16,1.8823529411764708e-05
"Ministry of Chemicals and Fertilisers
Demand No. 6
Department of Fertilisers",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat,,44.95,0.005288235294117647
