name0,name1,name2,name3,amounts_inrcr,amounts_usdb
"The President, Parliament, Union Public Service Commission and the Secretariat of the Vice President
Demand No. 82
Rajya Sabha",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat,337.34,0.03968705882352941
"The President, Parliament, Union Public Service Commission and the Secretariat of the Vice President
Demand No. 82
Rajya Sabha",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Members,141.51,0.016648235294117648
"The President, Parliament, Union Public Service Commission and the Secretariat of the Vice President
Demand No. 82
Rajya Sabha",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Leader of Opposition and Secretariat,2.95,0.00034705882352941173
"The President, Parliament, Union Public Service Commission and the Secretariat of the Vice President
Demand No. 82
Rajya Sabha",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Chairman and Deputy Chairman,2.04,0.00024
"The President, Parliament, Union Public Service Commission and the Secretariat of the Vice President
Demand No. 82
Rajya Sabha",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,"Secretariat of the leaders, Deputy Leaders and Chief Whips of recognised parties and groups",0.22,2.5882352941176472e-05
