name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Ministry of Minority Affairs
Demand No. 70
Ministry of Minority Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Education  Empowerment,Post-Matric Scholarship for Minorities,1065,0.12529411764705883
"Ministry of Minority Affairs
Demand No. 70
Ministry of Minority Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Education  Empowerment,Pre-Matric Scholarship for Minorities,433,0.05094117647058824
"Ministry of Minority Affairs
Demand No. 70
Ministry of Minority Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Education  Empowerment,Maulana Azad National Fellowship for Minority Students,96,0.011294117647058824
"Ministry of Minority Affairs
Demand No. 70
Ministry of Minority Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Education  Empowerment,Merit-cum-Means Scholarship for professional and technical courses (under graduate and post-graduate),44,0.0051764705882352945
"Ministry of Minority Affairs
Demand No. 70
Ministry of Minority Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Education  Empowerment,Free Coaching and allied schemes for Minorities,30,0.0035294117647058825
"Ministry of Minority Affairs
Demand No. 70
Ministry of Minority Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Education  Empowerment,Interest Subsidy on Educational loans for Overseas Studies,21,0.0024705882352941176
"Ministry of Minority Affairs
Demand No. 70
Ministry of Minority Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,PM-Viraasat Ka Samvardhan (PM VIKAS),PM-VIKAS Committed Liabilities,540,0.06352941176470588
"Ministry of Minority Affairs
Demand No. 70
Ministry of Minority Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Skill  Development and Livelihoods,Equity contribution to National Minorities Development and Finance Corporation (NMDFC),61,0.007176470588235295
"Ministry of Minority Affairs
Demand No. 70
Ministry of Minority Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Skill  Development and Livelihoods,Grants in aid to State Channelizing Agencies (SCAs) for implementation of NMDFC Programmes,3,0.00035294117647058826
"Ministry of Minority Affairs
Demand No. 70
Ministry of Minority Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Special  Programmes of Minorities,"Research/Studies, Publicity, Monitoring and Evaluation of development Schemes for Minorities",20,0.0023529411764705885
"Ministry of Minority Affairs
Demand No. 70
Ministry of Minority Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Special  Programmes of Minorities,Scheme for containing population decline of small minority community,6,0.0007058823529411765
"Ministry of Minority Affairs
Demand No. 70
Ministry of Minority Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Quami Waqf Board Taraqqiati Scheme and Sahari Waqf Sampati Vikas Yojna,,17,0.002
"Ministry of Minority Affairs
Demand No. 70
Ministry of Minority Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Statutory and Regulatory Bodies,National Commission for Minorities,15,0.0017647058823529412
"Ministry of Minority Affairs
Demand No. 70
Ministry of Minority Affairs",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Statutory and Regulatory Bodies,Special Officer for Linguistic Minorities,4,0.00047058823529411766
"Ministry of Minority Affairs
Demand No. 70
Ministry of Minority Affairs",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Umbrella Programme for Development of Minorities,Pradhan Mantri Jan Vikas Karyakaram,600,0.07058823529411765
"Ministry of Minority Affairs
Demand No. 70
Ministry of Minority Affairs",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Umbrella Programme for Development of Minorities,Education Scheme for Madrasas and Minorities,10,0.0011764705882352942
