name0,name1,name2,name3,name4,name5,amounts_inrcr,amounts_usdb
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Export Promotion Schemes,Interest Equalisation Scheme,,2932.0,0.3449411764705882
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Export Promotion Schemes,Market Access Initiative,,200.0,0.023529411764705882
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Rubber Board,,,268.76,0.03161882352941176
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Coffee Board,,,226.2,0.026611764705882352
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Duty Drawback Scheme,,,180.0,0.021176470588235293
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Tea Board,,,135.0,0.01588235294117647
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Spices Board,,,115.5,0.013588235294117646
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Marine Product Export Development Authority (MPEDA),,,100.0,0.011764705882352941
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Trade Infrastructure for Export Schemes (TIES),,,71.0,0.008352941176470587
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Centre For Research on International Trade-CRIT (Centre for WTO Studies),,,41.0,0.004823529411764706
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Project Development Fund,,,1.99,0.00023411764705882354
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Foreign Trade and Export Promotion,Director General of Foreign Trade,,174.0,0.02047058823529412
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Foreign Trade and Export Promotion,International Cooperation,,41.0,0.004823529411764706
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Foreign Trade and Export Promotion,International Conferences,,30.0,0.0035294117647058825
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Foreign Trade and Export Promotion,Trade Remedies and Trade Defence,,27.1,0.003188235294117647
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Trade Commissioners,,,240.0,0.02823529411764706
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat,,,170.61,0.020071764705882355
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Assistance to Special Economic Zones,,,113.9,0.0134
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Directorate General of Commercial Intelligence and Statistics,,,43.0,0.005058823529411765
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Autonomous Institutions,Indian Institute of Foreign Trade,50.0,0.0058823529411764705
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Autonomous Institutions,Indian Institute of Packaging,10.0,0.0011764705882352942
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Delegation from abroad,,2.0,0.00023529411764705883
"Ministry of Commerce and Industry
Demand No. 10
Department of Commerce",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Delegation going abroad,,0.5,5.882352941176471e-05
