source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
ROOT,"Ministry of Finance
Demand No. 39
Interest Payments",r,r_mofdn3ip,1079971.0,10799710000000.0,127055411764.70589
"Ministry of Finance
Demand No. 39
Interest Payments",CENTRE'S EXPENDITURE,r_mofdn3ip,r_mofdn3ip_cse,1079971.0,10799710000000.0,127055411764.70589
CENTRE'S EXPENDITURE,Other Central Sector Expenditure,r_mofdn3ip_cse,r_mofdn3ip_cse_ocse,1079971.0,10799710000000.0,127055411764.70589
Other Central Sector Expenditure,Others,r_mofdn3ip_cse_ocse,r_mofdn3ip_cse_ocse_o,1079971.0,10799710000000.0,127055411764.70589
Others,Interest on External Debt,r_mofdn3ip_cse_ocse_o,r_mofdn3ip_cse_ocse_o_ioed,12254.7,122547000000.0,1441729411.764706
Others,Interest on Internal Debt,r_mofdn3ip_cse_ocse_o,r_mofdn3ip_cse_ocse_o_ioid,821195.75,8211957500000.0,96611264705.88235
Others,Interest on other obligations,r_mofdn3ip_cse_ocse_o,r_mofdn3ip_cse_ocse_o_iooo,11268.24,112682400000.0,1325675294.1176472
Others,Interest on Reserve Funds,r_mofdn3ip_cse_ocse_o,r_mofdn3ip_cse_ocse_o_iorf,967.99,9679900000.0,113881176.47058824
Others,"Interest on Small Savings, Provident Funds etc.",r_mofdn3ip_cse_ocse_o,r_mofdn3ip_cse_ocse_o_iosspfe,232951.82,2329518200000.0,27406096470.588234
Others,Prepayment Premium for reduction of debt,r_mofdn3ip_cse_ocse_o,r_mofdn3ip_cse_ocse_o_ppfrod,1332.5,13325000000.0,156764705.88235295
Interest on other obligations,Bonds for SBI Rights,r_mofdn3ip_cse_ocse_o_iooo,r_mofdn3ip_cse_ocse_o_iooo_bfsr,834.67,8346700000.0,98196470.58823529
Interest on other obligations,Interest on others,r_mofdn3ip_cse_ocse_o_iooo,r_mofdn3ip_cse_ocse_o_iooo_ioo,1341.92,13419200000.0,157872941.17647058
Interest on other obligations,Special bonds issued to Fertilizer Companies,r_mofdn3ip_cse_ocse_o_iooo,r_mofdn3ip_cse_ocse_o_iooo_sbitfc,604.33,6043300000.0,71097647.05882353
Interest on other obligations,Special bonds issued to Food Corporation of India,r_mofdn3ip_cse_ocse_o_iooo,r_mofdn3ip_cse_ocse_o_iooo_sbitfcoi,911.76,9117600000.0,107265882.35294117
Interest on other obligations,Special bonds to Oil Companies,r_mofdn3ip_cse_ocse_o_iooo,r_mofdn3ip_cse_ocse_o_iooo_sbtoc,6848.16,68481600000.0,805665882.3529412
Interest on other obligations,Special Bonds to PLI,r_mofdn3ip_cse_ocse_o_iooo,r_mofdn3ip_cse_ocse_o_iooo_sbtp,727.4,7274000000.0,85576470.58823529
"Interest on Small Savings, Provident Funds etc.",Insurance and Pension Funds,r_mofdn3ip_cse_ocse_o_iosspfe,r_mofdn3ip_cse_ocse_o_iosspfe_iapf,7133.73,71337300000.0,839262352.9411764
"Interest on Small Savings, Provident Funds etc.","Interest on Small Savings deposits, certificates and operational expenses",r_mofdn3ip_cse_ocse_o_iosspfe,r_mofdn3ip_cse_ocse_o_iosspfe_iossdcaoe,184840.39,1848403900000.0002,21745928235.29412
"Interest on Small Savings, Provident Funds etc.",Other Special Deposits,r_mofdn3ip_cse_ocse_o_iosspfe,r_mofdn3ip_cse_ocse_o_iosspfe_osd,18890.17,188901699999.99997,2222372941.1764703
"Interest on Small Savings, Provident Funds etc.",Special Deposits of Non Government Provident Funds,r_mofdn3ip_cse_ocse_o_iosspfe,r_mofdn3ip_cse_ocse_o_iosspfe_sdongpf,3969.75,39697500000.0,467029411.7647059
"Interest on Small Savings, Provident Funds etc.",State Provident Funds,r_mofdn3ip_cse_ocse_o_iosspfe,r_mofdn3ip_cse_ocse_o_iosspfe_spf,18117.78,181177800000.0,2131503529.4117646
