source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
ROOT,"Ministry of Coal
Demand No. 9
Ministry of Coal",r,r_mocdn9moc,192.32,1923200000.0,22625882.352941178
"Ministry of Coal
Demand No. 9
Ministry of Coal",CENTRE'S EXPENDITURE,r_mocdn9moc,r_mocdn9moc_cse,192.32,1923200000.0,22625882.352941178
CENTRE'S EXPENDITURE,Autonomous Bodies,r_mocdn9moc_cse,r_mocdn9moc_cse_ab,10.64,106400000.0,1251764.705882353
CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,r_mocdn9moc_cse,r_mocdn9moc_cse_cssp,113.5,1135000000.0,13352941.176470589
CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,r_mocdn9moc_cse,r_mocdn9moc_cse_eeotc,68.18,681800000.0000001,8021176.470588237
Autonomous Bodies,Coal Mines Pension Scheme,r_mocdn9moc_cse_ab,r_mocdn9moc_cse_ab_cmps,10.64,106400000.0,1251764.705882353
Central Sector Schemes/Projects,Coal and Lignite,r_mocdn9moc_cse_cssp,r_mocdn9moc_cse_cssp_cal,113.5,1135000000.0,13352941.176470589
Coal and Lignite,"Conservation, Safety and Infrastructure Development in Coal Mines",r_mocdn9moc_cse_cssp_cal,r_mocdn9moc_cse_cssp_cal_csaidicm,92.5,925000000.0,10882352.94117647
Coal and Lignite,Research and Development,r_mocdn9moc_cse_cssp_cal,r_mocdn9moc_cse_cssp_cal_rad,21.0,210000000.0,2470588.2352941176
Establishment Expenditure of the Centre,Secretariat,r_mocdn9moc_cse_eeotc,r_mocdn9moc_cse_eeotc_s,40.63,406300000.0,4780000.0
Establishment Expenditure of the Centre,"Statutory Bodies, Attached and Sub-ordinate Offices",r_mocdn9moc_cse_eeotc,r_mocdn9moc_cse_eeotc_sbaasoo,27.55,275500000.0,3241176.470588235
