source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
ROOT,"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",r,r_mohauadn6mohaua,76431.6,764316000000.0,8991952941.17647
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,r_mohauadn6mohaua,r_mohauadn6mohaua_cse,30328.56,303285600000.0,3568065882.352941
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",TRANSFERS TO STATES/UTs,r_mohauadn6mohaua,r_mohauadn6mohaua_ttsu,46103.04,461030400000.0,5423887058.823529
CENTRE'S EXPENDITURE,Attached Offices/ Autonomous Organizations,r_mohauadn6mohaua_cse,r_mohauadn6mohaua_cse_aoao,3421.47,34214699999.999996,402525882.35294116
CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,r_mohauadn6mohaua_cse,r_mohauadn6mohaua_cse_cssp,26444.96,264449600000.0,3111171764.7058825
CENTRE'S EXPENDITURE,Other Central Sector Expenditure,r_mohauadn6mohaua_cse,r_mohauadn6mohaua_cse_ocse,247.5,2475000000.0,29117647.05882353
CENTRE'S EXPENDITURE,Secretariat,r_mohauadn6mohaua_cse,r_mohauadn6mohaua_cse_s,214.63,2146300000.0,25250588.23529412
Attached Offices/ Autonomous Organizations,Building Material and Technology Promotion Council (BMTPC),r_mohauadn6mohaua_cse_aoao,r_mohauadn6mohaua_cse_aoao_bmatpcb,7.5,75000000.0,882352.9411764706
Attached Offices/ Autonomous Organizations,Central Public Works Department,r_mohauadn6mohaua_cse_aoao,r_mohauadn6mohaua_cse_aoao_cpwd,3288.25,32882500000.0,386852941.1764706
Attached Offices/ Autonomous Organizations,Delhi Urban Art Commission,r_mohauadn6mohaua_cse_aoao,r_mohauadn6mohaua_cse_aoao_duac,6.44,64400000.00000001,757647.0588235295
Attached Offices/ Autonomous Organizations,Grants-in-Aid for training of Municipal Employees,r_mohauadn6mohaua_cse_aoao,r_mohauadn6mohaua_cse_aoao_giaftome,13.5,135000000.0,1588235.294117647
Attached Offices/ Autonomous Organizations,National Building Organisation,r_mohauadn6mohaua_cse_aoao,r_mohauadn6mohaua_cse_aoao_nbo,4.32,43200000.0,508235.29411764705
Attached Offices/ Autonomous Organizations,National Institute of Urban Affairs,r_mohauadn6mohaua_cse_aoao,r_mohauadn6mohaua_cse_aoao_nioua,8.0,80000000.0,941176.4705882353
Attached Offices/ Autonomous Organizations,NCR Planning Board,r_mohauadn6mohaua_cse_aoao,r_mohauadn6mohaua_cse_aoao_npb,65.1,651000000.0,7658823.529411765
Attached Offices/ Autonomous Organizations,Real Estate Regulatory Authority,r_mohauadn6mohaua_cse_aoao,r_mohauadn6mohaua_cse_aoao_rera,4.0,40000000.0,470588.23529411765
Attached Offices/ Autonomous Organizations,Rajghat Samadhi Committee including Departmental Canteens,r_mohauadn6mohaua_cse_aoao,r_mohauadn6mohaua_cse_aoao_rscidc,9.02,90200000.0,1061176.4705882352
Attached Offices/ Autonomous Organizations,Town & Country Planning Organization,r_mohauadn6mohaua_cse_aoao,r_mohauadn6mohaua_cse_aoao_tcpo,15.24,152400000.0,1792941.1764705882
Central Sector Schemes/Projects,General Pool Accommodation,r_mohauadn6mohaua_cse_cssp,r_mohauadn6mohaua_cse_cssp_gpa,2799.95,27999500000.0,329405882.35294116
Central Sector Schemes/Projects,MRTS and Metro Projects,r_mohauadn6mohaua_cse_cssp,r_mohauadn6mohaua_cse_cssp_mamp,23175.01,231750099999.99997,2726471764.705882
Central Sector Schemes/Projects,Projects in North Eastern Region,r_mohauadn6mohaua_cse_cssp,r_mohauadn6mohaua_cse_cssp_piner,470.0,4700000000.0,55294117.64705882
General Pool Accommodation,Non-residential,r_mohauadn6mohaua_cse_cssp_gpa,r_mohauadn6mohaua_cse_cssp_gpa_nr,2132.62,21326200000.0,250896470.5882353
General Pool Accommodation,Residential,r_mohauadn6mohaua_cse_cssp_gpa,r_mohauadn6mohaua_cse_cssp_gpa_r,667.33,6673300000.0,78509411.76470588
Non-residential,Non-Residential,r_mohauadn6mohaua_cse_cssp_gpa_nr,r_mohauadn6mohaua_cse_cssp_gpa_nr_nr,2132.62,21326200000.0,250896470.5882353
Residential,Residential,r_mohauadn6mohaua_cse_cssp_gpa_r,r_mohauadn6mohaua_cse_cssp_gpa_r_r,667.33,6673300000.0,78509411.76470588
MRTS and Metro Projects,Metro Projects,r_mohauadn6mohaua_cse_cssp_mamp,r_mohauadn6mohaua_cse_cssp_mamp_mp,19518.0,195180000000.0,2296235294.117647
MRTS and Metro Projects,National Capital Region Transport Corporation,r_mohauadn6mohaua_cse_cssp_mamp,r_mohauadn6mohaua_cse_cssp_mamp_ncrtc,3596.0,35960000000.0,423058823.5294118
MRTS and Metro Projects,Transport Planning and Capacity Building in Urban Transport,r_mohauadn6mohaua_cse_cssp_mamp,r_mohauadn6mohaua_cse_cssp_mamp_tpacbiut,61.01,610100000.0,7177647.05882353
Projects in North Eastern Region,Public Health Engineering (PHE) Sector Development Scheme,r_mohauadn6mohaua_cse_cssp_piner,r_mohauadn6mohaua_cse_cssp_piner_phepsds,2.0,20000000.0,235294.11764705883
Projects in North Eastern Region,Prime Minister's Street Vendors' Atmanirbhar Nidhi (PM SVANIDHI),r_mohauadn6mohaua_cse_cssp_piner,r_mohauadn6mohaua_cse_cssp_piner_pmssvanps,468.0,4680000000.0,55058823.52941176
Other Central Sector Expenditure,Public Sector Undertakings,r_mohauadn6mohaua_cse_ocse,r_mohauadn6mohaua_cse_ocse_psu,60.0,600000000.0,7058823.529411765
Other Central Sector Expenditure,Statutory and Regulatory Bodies,r_mohauadn6mohaua_cse_ocse,r_mohauadn6mohaua_cse_ocse_sarb,187.5,1875000000.0,22058823.529411763
Public Sector Undertakings,Hemisphere Properties India Limited(HPIL),r_mohauadn6mohaua_cse_ocse_psu,r_mohauadn6mohaua_cse_ocse_psu_hpilh,60.0,600000000.0,7058823.529411765
Statutory and Regulatory Bodies,Controller of Publication,r_mohauadn6mohaua_cse_ocse_sarb,r_mohauadn6mohaua_cse_ocse_sarb_cop,19.57,195700000.0,2302352.9411764704
Statutory and Regulatory Bodies,Controller of Stationery,r_mohauadn6mohaua_cse_ocse_sarb,r_mohauadn6mohaua_cse_ocse_sarb_cos,63.55,635500000.0,7476470.588235294
Statutory and Regulatory Bodies,Other Organizations,r_mohauadn6mohaua_cse_ocse_sarb,r_mohauadn6mohaua_cse_ocse_sarb_oo,0.43,4300000.0,50588.23529411765
Statutory and Regulatory Bodies,Printing Presses,r_mohauadn6mohaua_cse_ocse_sarb,r_mohauadn6mohaua_cse_ocse_sarb_pp,103.95,1039500000.0,12229411.764705881
Secretariat,Directorate of Estates,r_mohauadn6mohaua_cse_s,r_mohauadn6mohaua_cse_s_doe,49.16,491599999.99999994,5783529.411764706
Secretariat,Establishment of Land and Development Office,r_mohauadn6mohaua_cse_s,r_mohauadn6mohaua_cse_s_eolado,21.97,219700000.0,2584705.882352941
Secretariat,International Contibutions,r_mohauadn6mohaua_cse_s,r_mohauadn6mohaua_cse_s_ic,1.6,16000000.0,188235.29411764705
Secretariat,Secretariat,r_mohauadn6mohaua_cse_s,r_mohauadn6mohaua_cse_s_s,141.9,1419000000.0,16694117.647058824
TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,r_mohauadn6mohaua_ttsu,r_mohauadn6mohaua_ttsu_css,46103.04,461030400000.0,5423887058.823529
Centrally Sponsored Schemes,Pradhan Mantri Awas Yojna (PMAY),r_mohauadn6mohaua_ttsu_css,r_mohauadn6mohaua_ttsu_css_pmayp,25103.03,251030300000.0,2953297647.0588236
Centrally Sponsored Schemes,Swachh Bharat Mission,r_mohauadn6mohaua_ttsu_css,r_mohauadn6mohaua_ttsu_css_sbm,5000.0,50000000000.0,588235294.117647
Centrally Sponsored Schemes,Urban Rejuvenation Mission: AMRUT and Smart Cities Mission,r_mohauadn6mohaua_ttsu_css,r_mohauadn6mohaua_ttsu_css_urmaascm,16000.0,160000000000.0,1882352941.1764705
Pradhan Mantri Awas Yojna (PMAY),PMAY-Urban (Schemes financed from Central Road and Infrastructure Fund),r_mohauadn6mohaua_ttsu_css_pmayp,r_mohauadn6mohaua_ttsu_css_pmayp_pusffcraif,25103.03,251030300000.0,2953297647.0588236
PMAY-Urban (Schemes financed from Central Road and Infrastructure Fund),Institutional Development for Inclusive Urban Governance,r_mohauadn6mohaua_ttsu_css_pmayp_pusffcraif,r_mohauadn6mohaua_ttsu_css_pmayp_pusffcraif_idfiug,5.0,50000000.0,588235.2941176471
PMAY-Urban (Schemes financed from Central Road and Infrastructure Fund),Interest Payment against loan raised through EBR,r_mohauadn6mohaua_ttsu_css_pmayp_pusffcraif,r_mohauadn6mohaua_ttsu_css_pmayp_pusffcraif_ipalrte,1773.0,17730000000.0,208588235.29411766
PMAY-Urban (Schemes financed from Central Road and Infrastructure Fund),Other items of Central Component,r_mohauadn6mohaua_ttsu_css_pmayp_pusffcraif,r_mohauadn6mohaua_ttsu_css_pmayp_pusffcraif_oiocc,253.37,2533700000.0,29808235.29411765
PMAY-Urban (Schemes financed from Central Road and Infrastructure Fund),Other items of States/UTs Component,r_mohauadn6mohaua_ttsu_css_pmayp_pusffcraif,r_mohauadn6mohaua_ttsu_css_pmayp_pusffcraif_oiosuc,23071.64,230716400000.0,2714310588.2352943
Swachh Bharat Mission,Swachh Bharat Mission (SBM) - Urban,r_mohauadn6mohaua_ttsu_css_sbm,r_mohauadn6mohaua_ttsu_css_sbm_sbmsu,5000.0,50000000000.0,588235294.117647
Swachh Bharat Mission (SBM) - Urban,Gross Budgetary Support,r_mohauadn6mohaua_ttsu_css_sbm_sbmsu,r_mohauadn6mohaua_ttsu_css_sbm_sbmsu_gbs,5000.0,50000000000.0,588235294.117647
Urban Rejuvenation Mission: AMRUT and Smart Cities Mission,AMRUT (Atal Mission for Rejuvenation and Urban Transformation),r_mohauadn6mohaua_ttsu_css_urmaascm,r_mohauadn6mohaua_ttsu_css_urmaascm_aamfraut,8000.0,80000000000.0,941176470.5882353
