name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Ministry of Culture
Demand No. 18
Ministry of Culture",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Support to Akademies,401.27,0.04720823529411764
"Ministry of Culture
Demand No. 18
Ministry of Culture",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Support to Museums,357.39,0.042045882352941176
"Ministry of Culture
Demand No. 18
Ministry of Culture",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Buddhist Tibetan Institutions and Memorials,130.91,0.015401176470588236
"Ministry of Culture
Demand No. 18
Ministry of Culture",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Support to Libraries,106.46,0.01252470588235294
"Ministry of Culture
Demand No. 18
Ministry of Culture",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Grantee Bodies,50.19,0.00590470588235294
"Ministry of Culture
Demand No. 18
Ministry of Culture",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Archaeological Survey of India (A.S.I),,1102.83,0.12974470588235296
"Ministry of Culture
Demand No. 18
Ministry of Culture",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Libraries and Archives,,338.75,0.039852941176470584
"Ministry of Culture
Demand No. 18
Ministry of Culture",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Museums,,136.8,0.016094117647058825
"Ministry of Culture
Demand No. 18
Ministry of Culture",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat including Central Secretariat Library,,69.98,0.008232941176470589
"Ministry of Culture
Demand No. 18
Ministry of Culture",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Anthropological Survey of India ( An. S.I.),,54.33,0.006391764705882353
"Ministry of Culture
Demand No. 18
Ministry of Culture",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Kala Sanskriti Vikas Yojana,,210.49,0.02476352941176471
"Ministry of Culture
Demand No. 18
Ministry of Culture",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,"Centenaries and Anniversaries,  Celebrations and Schemes",,185.0,0.02176470588235294
"Ministry of Culture
Demand No. 18
Ministry of Culture",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Development of Museums,,183.86,0.021630588235294124
"Ministry of Culture
Demand No. 18
Ministry of Culture",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Development of Libraries and Archives,,26.02,0.003061176470588235
"Ministry of Culture
Demand No. 18
Ministry of Culture",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Global Engagement and International Cooperation,,25.55,0.0030058823529411764
"Ministry of Culture
Demand No. 18
Ministry of Culture",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,National mission on cultural mapping and roadmap,,19.82,0.0023317647058823526
