name0,name1,name2,name3,name4,name5,amounts_inrcr,amounts_usdb
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Control of Pollution,,,756.0,0.08894117647058823
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Environmental Knowledge and Capacity Building,,,92.86,0.01092470588235294
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,"Environment Education, Awareness, Research and Skill Development",,,87.4,0.01028235294117647
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,National Coastal Management Programme,National Coastal Mission (NCM),Programme Component,12.5,0.0014705882352941176
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Council of Forestry Research and Education,,230.0,0.027058823529411764
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Wildlife Institute of India,,36.5,0.004294117647058823
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,GB Pant Himalayan Institue of Environment and Development,,25.0,0.0029411764705882353
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Institute of Forest Management,,17.5,0.002058823529411765
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Statutory and Regulatory Bodies,Central Pollution Control Board,,105.0,0.012352941176470589
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Statutory and Regulatory Bodies,Commission for Air Quality Management,,17.0,0.002
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Statutory and Regulatory Bodies,National Biodiversity Authority,,16.4,0.0019294117647058824
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Statutory and Regulatory Bodies,National Tiger Conservation Authority,,11.0,0.0012941176470588236
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Statutory and Regulatory Bodies,Central Zoo Authority,,10.0,0.0011764705882352942
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,Botanical Survey of India,,,,136.0,0.016
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,Zoological Survey of India,,,,104.0,0.01223529411764706
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,National Green Tribunal,,,,60.0,0.007058823529411765
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,Indira Gandhi National Forest Academy,,,,52.0,0.00611764705882353
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,Forest Survey of India,,,,43.0,0.005058823529411765
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,State Forest Service and Rangers College,,,,38.0,0.004470588235294118
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,National Zoological Park,,,,27.0,0.003176470588235294
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,National Museum of Natural History,,,,20.0,0.0023529411764705885
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",CENTRE'S EXPENDITURE,Wildlife Crime Control Bureau,,,,13.5,0.001588235294117647
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,"Environment, Forestry and Wildlife",Integrated Development of Wildlife Habitats,Project Tiger & Elephant,331.8,0.03903529411764706
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,"Environment, Forestry and Wildlife",Integrated Development of Wildlife Habitats,Development of Wildlife Habitats,135.0,0.01588235294117647
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,"Environment, Forestry and Wildlife",Integrated Development of Wildlife Habitats,Development of Wildlife Habitats (EAP Component),25.0,0.0029411764705882353
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,"Environment, Forestry and Wildlife",National Mission for a Green India,,220.0,0.02588235294117647
"Ministry of Environment, Forests and Climate Change
Demand No. 28
Ministry of Environment, Forests and Climate Change",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,"Environment, Forestry and Wildlife",Conservation of Natural Resources and Ecosystems,Conservation of Aquatic Ecosystems,38.4,0.00451764705882353
