name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Ministry of Tourism
Demand No. 99
Ministry of Tourism",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Tourism Infrastructure,Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan),1412.0,0.16611764705882354
"Ministry of Tourism
Demand No. 99
Ministry of Tourism",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Tourism Infrastructure,"Pilgrimage Rejuvenation and Spiritual, Heritage Augmentation Drive (PRASHAD)",250.0,0.029411764705882353
"Ministry of Tourism
Demand No. 99
Ministry of Tourism",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Tourism Infrastructure,Champion Services Sector Scheme,196.22,0.02308470588235294
"Ministry of Tourism
Demand No. 99
Ministry of Tourism",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Tourism Infrastructure,Assistance to Central Agencies for Tourism Infrastructure Development,80.0,0.009411764705882354
"Ministry of Tourism
Demand No. 99
Ministry of Tourism",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Tourism Infrastructure,Loan Guarantee Scheme for the Covid affected Tourism Service Sector,1.0,0.00011764705882352942
"Ministry of Tourism
Demand No. 99
Ministry of Tourism",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Promotion and Publicity,Overseas Promotion and Publicity including Market Development Assistance,167.0,0.01964705882352941
"Ministry of Tourism
Demand No. 99
Ministry of Tourism",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Promotion and Publicity,Domestic Promotion and Publicity including Market Development Assistance,75.0,0.008823529411764706
"Ministry of Tourism
Demand No. 99
Ministry of Tourism",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Training and Skill Development,Assistance to IHMS/FCIs/IITTM/NIWS,70.0,0.00823529411764706
"Ministry of Tourism
Demand No. 99
Ministry of Tourism",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Training and Skill Development,Capacity Building for Service Providers,35.0,0.00411764705882353
"Ministry of Tourism
Demand No. 99
Ministry of Tourism",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,,,5.27,0.0006199999999999999
