name0,name1,name2,name3,name4,name5,amounts_inrcr,amounts_usdb
"Ministry of Science and Technology
Demand No. 91
Department of Scientific and Industrial Research",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Council of Scientific and Industrial Research (CSIR),National Laboratories,5175.51,0.6088835294117647
"Ministry of Science and Technology
Demand No. 91
Department of Scientific and Industrial Research",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Council of Scientific and Industrial Research (CSIR),Capacity Building and Human Resource Development,500.0,0.058823529411764705
"Ministry of Science and Technology
Demand No. 91
Department of Scientific and Industrial Research",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Contribution to Asian & Pacific Centre for Transfer of Technology (UN Body),,7.5,0.0008823529411764706
"Ministry of Science and Technology
Demand No. 91
Department of Scientific and Industrial Research",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Industrial Research and Development,,,23.3,0.002741176470588235
"Ministry of Science and Technology
Demand No. 91
Department of Scientific and Industrial Research",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Assistance to PSEs for Other Scientific Research Schemes,,,21.73,0.002556470588235294
"Ministry of Science and Technology
Demand No. 91
Department of Scientific and Industrial Research",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat,,,18.47,0.0021729411764705884
