name0,name1,name2,name3,amounts_inrcr,amounts_usdb
"Ministry of Communications
Demand No. 12
Department of Posts",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,,24285.69,2.85714
"Ministry of Communications
Demand No. 12
Department of Posts",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Postal Operation,1144.31,0.13462470588235295
"Ministry of Communications
Demand No. 12
Department of Posts",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,India Post Payments Bank,250.0,0.029411764705882353
"Ministry of Communications
Demand No. 12
Department of Posts",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Estates Management,100.0,0.011764705882352941
"Ministry of Communications
Demand No. 12
Department of Posts",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Human Resource Management,34.0,0.004
