name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Ministry of Earth Sciences
Demand No. 24
Ministry of Earth Sciences",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Atmosphere and Climate Research - Modelling Observing Systems and Services (ACROSS),,680.0,0.08
"Ministry of Earth Sciences
Demand No. 24
Ministry of Earth Sciences",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Deep Ocean Mission (DOM),,600.0,0.07058823529411765
"Ministry of Earth Sciences
Demand No. 24
Ministry of Earth Sciences",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,"Ocean services, Modelling, Application, Resources and Technology (O-SMART)",,460.0,0.05411764705882353
"Ministry of Earth Sciences
Demand No. 24
Ministry of Earth Sciences",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Polar Science and Cryosphere (PACER),,146.0,0.017176470588235293
"Ministry of Earth Sciences
Demand No. 24
Ministry of Earth Sciences",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Seismological and Geoscience (SAGE),,120.0,0.01411764705882353
"Ministry of Earth Sciences
Demand No. 24
Ministry of Earth Sciences",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,"Research, Education and Training Outreach (REACHOUT)",,65.0,0.007647058823529412
"Ministry of Earth Sciences
Demand No. 24
Ministry of Earth Sciences",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat,,529.51,0.06229529411764706
"Ministry of Earth Sciences
Demand No. 24
Ministry of Earth Sciences",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Meteorology,,500.7,0.058905882352941176
"Ministry of Earth Sciences
Demand No. 24
Ministry of Earth Sciences",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,National Centre for Medium Range Weather Forecasting (NCMRWF),,13.77,0.00162
"Ministry of Earth Sciences
Demand No. 24
Ministry of Earth Sciences",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Institute of Tropical Meteorology (IITM),86.5,0.010176470588235294
"Ministry of Earth Sciences
Demand No. 24
Ministry of Earth Sciences",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,National Institute of Ocean Technology (NIOT),49.4,0.005811764705882353
"Ministry of Earth Sciences
Demand No. 24
Ministry of Earth Sciences",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian National Centre for Ocean Information Services (INCOIS),27.0,0.003176470588235294
"Ministry of Earth Sciences
Demand No. 24
Ministry of Earth Sciences",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,"National Centre for Polar and Ocean Research, Goa (NCPOR)",26.0,0.003058823529411765
"Ministry of Earth Sciences
Demand No. 24
Ministry of Earth Sciences",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,National Centre for Earth Science Studies (NCESS),16.0,0.0018823529411764706
