name0,name1,name2,name3,amounts_inrcr,amounts_usdb
"Ministry of Parliamentary Affairs
Demand No. 73
Ministry of Parliamentary Affairs",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,National eVidhan Application,38,0.004470588235294118
"Ministry of Parliamentary Affairs
Demand No. 73
Ministry of Parliamentary Affairs",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat,25,0.0029411764705882353
