name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Deparment of Space
Demand No. 95
Department of Space",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Space Technology,,9440.66,1.1106658823529412
"Deparment of Space
Demand No. 95
Department of Space",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Space Applications,,1558.95,0.1834058823529412
"Deparment of Space
Demand No. 95
Department of Space",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,INSAT Satellite Systems,,531.0,0.06247058823529412
"Deparment of Space
Demand No. 95
Department of Space",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Space Sciences,,138.8,0.01632941176470588
"Deparment of Space
Demand No. 95
Department of Space",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Physical Research Laboratory (PRL),198.0,0.023294117647058823
"Deparment of Space
Demand No. 95
Department of Space",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Institute of Space Science and Technology (IIST),122.0,0.01435294117647059
"Deparment of Space
Demand No. 95
Department of Space",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,National Atmospheric Research Laboratory (NARL),44.69,0.005257647058823529
"Deparment of Space
Demand No. 95
Department of Space",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,North Eastern Space Applications Centre (NE-SAC),44.0,0.0051764705882352945
"Deparment of Space
Demand No. 95
Department of Space",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,International Co-operation,13.9,0.0016352941176470588
"Deparment of Space
Demand No. 95
Department of Space",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Public Sector Undertakings,NewSpace India Limited (NSIL),1.0,0.00011764705882352942
"Deparment of Space
Demand No. 95
Department of Space",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Indian Space Research Organisation (ISRO) Head Quarters,,201.91,0.02375411764705882
"Deparment of Space
Demand No. 95
Department of Space",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat,,154.0,0.01811764705882353
"Deparment of Space
Demand No. 95
Department of Space",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Indian National Space Promotion and Authorization Centre (IN-SPACe),,95.0,0.011176470588235295
