name0,name1,name2,name3,amounts_inrcr,amounts_usdb
"Ministry of Home Affairs
Demand No. 58
Transfers to Jammu and Kashmir",TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,Central Assistance to Union Territories,33923.0,3.990941176470588
"Ministry of Home Affairs
Demand No. 58
Transfers to Jammu and Kashmir",TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,Grant towards JTFRP-EAP,500.0,0.058823529411764705
"Ministry of Home Affairs
Demand No. 58
Transfers to Jammu and Kashmir",TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,Grants towards equity for Ratle 800 MW HEP,476.44,0.056051764705882356
"Ministry of Home Affairs
Demand No. 58
Transfers to Jammu and Kashmir",TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,Grants towards contribution to Union Territory Disaster Response Fund,279.0,0.03282352941176471
"Ministry of Home Affairs
Demand No. 58
Transfers to Jammu and Kashmir",TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,Grants for equity contribution for 540MW KWR HEP,171.23,0.02014470588235294
"Ministry of Home Affairs
Demand No. 58
Transfers to Jammu and Kashmir",TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,Grants towards equity contribution for 624 MW Kiru HEP,130.0,0.015294117647058824
"Ministry of Home Affairs
Demand No. 58
Transfers to Jammu and Kashmir",TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,Support for Capital Expenditure of UT,101.77,0.011972941176470589
