name0,name1,name2,name3,name4,name5,amounts_inrcr,amounts_usdb
"Ministry of Development of North Eastern Region
Demand No. 23
Ministry of Development of North Eastern Region",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Central Pool of Resources for North East and Sikkim,North East Special Infrastructure Development Scheme (NESIDS),NESIDS Programme,2491.0,0.2930588235294118
"Ministry of Development of North Eastern Region
Demand No. 23
Ministry of Development of North Eastern Region",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Prime Minister's Development Initiative for North East Region (PM-DevINE),,,2200.0,0.25882352941176473
"Ministry of Development of North Eastern Region
Demand No. 23
Ministry of Development of North Eastern Region",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Schemes of North East Council,Schemes of North East Council,,800.0,0.09411764705882353
"Ministry of Development of North Eastern Region
Demand No. 23
Ministry of Development of North Eastern Region",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Special Development Packages,Special package for Bodoland Territorial Council (BTC),,100.0,0.011764705882352941
"Ministry of Development of North Eastern Region
Demand No. 23
Ministry of Development of North Eastern Region",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Special Development Packages,Special package for Karbi Anglong (KAATC),,100.0,0.011764705882352941
"Ministry of Development of North Eastern Region
Demand No. 23
Ministry of Development of North Eastern Region",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Special Development Packages,Special package for Dima Hasao (DHATC),,100.0,0.011764705882352941
"Ministry of Development of North Eastern Region
Demand No. 23
Ministry of Development of North Eastern Region",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,North East Enterprise Development Scheme (NEEDS) erstwhile Loan to North East Development Finance Corporation,,,60.0,0.007058823529411765
"Ministry of Development of North Eastern Region
Demand No. 23
Ministry of Development of North Eastern Region",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat,,,31.33,0.0036858823529411764
"Ministry of Development of North Eastern Region
Demand No. 23
Ministry of Development of North Eastern Region",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Public Sector Undertakings,North East Regional Agricultural Marketing Corporation,,7.67,0.0009023529411764706
"Ministry of Development of North Eastern Region
Demand No. 23
Ministry of Development of North Eastern Region",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Public Sector Undertakings,North Eastern Handicrafts and Handlooms Development Corporation Ltd,,2.0,0.00023529411764705883
