name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Ministry of Agriculture and Farmers Welfare
Demand No. 2
Department of Agricultural Research and Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,ICAR Headquarters,6384.59,0.7511282352941177
"Ministry of Agriculture and Farmers Welfare
Demand No. 2
Department of Agricultural Research and Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Central Agricultural Universities,651.53,0.07665058823529412
"Ministry of Agriculture and Farmers Welfare
Demand No. 2
Department of Agricultural Research and Education",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,National Academy of Agricultural Sciences,0.76,8.941176470588235e-05
"Ministry of Agriculture and Farmers Welfare
Demand No. 2
Department of Agricultural Research and Education",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Crop Sciences,Crop Science,714.41,0.08404823529411765
"Ministry of Agriculture and Farmers Welfare
Demand No. 2
Department of Agricultural Research and Education",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Crop Sciences,Horticultural Science,212.0,0.024941176470588237
"Ministry of Agriculture and Farmers Welfare
Demand No. 2
Department of Agricultural Research and Education",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Animal Sciences,Animal Science,300.0,0.03529411764705882
"Ministry of Agriculture and Farmers Welfare
Demand No. 2
Department of Agricultural Research and Education",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Animal Sciences,Fisheries Science,150.0,0.01764705882352941
"Ministry of Agriculture and Farmers Welfare
Demand No. 2
Department of Agricultural Research and Education",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Agricultural Education,Agricultural Universities and Institutions,322.74,0.037969411764705883
"Ministry of Agriculture and Farmers Welfare
Demand No. 2
Department of Agricultural Research and Education",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Agricultural Education,National Agricultural Higher Education Project (EAP),92.26,0.010854117647058825
"Ministry of Agriculture and Farmers Welfare
Demand No. 2
Department of Agricultural Research and Education",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Management of Natural Resources,Natural Resource Management Institutes including Agro Forestry Research,240.0,0.02823529411764706
"Ministry of Agriculture and Farmers Welfare
Demand No. 2
Department of Agricultural Research and Education",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Agricultural Engineering,,65.0,0.007647058823529412
"Ministry of Agriculture and Farmers Welfare
Demand No. 2
Department of Agricultural Research and Education",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat,,43.71,0.00514235294117647
