name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Ministry of Personnel, Public Grievances and Pensions
Demand No. 74
Ministry of Personnel, Public Grievances and Pensions",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Attached and Subordinate Offices,Central Bureau of Investigation,946.51,0.11135411764705883
"Ministry of Personnel, Public Grievances and Pensions
Demand No. 74
Ministry of Personnel, Public Grievances and Pensions",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Attached and Subordinate Offices,Staff Selection Commission,399.73,0.047027058823529415
"Ministry of Personnel, Public Grievances and Pensions
Demand No. 74
Ministry of Personnel, Public Grievances and Pensions",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Attached and Subordinate Offices,Central Administrative Tribunal,163.42,0.019225882352941173
"Ministry of Personnel, Public Grievances and Pensions
Demand No. 74
Ministry of Personnel, Public Grievances and Pensions",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Attached and Subordinate Offices,Lokpal,92.0,0.010823529411764706
"Ministry of Personnel, Public Grievances and Pensions
Demand No. 74
Ministry of Personnel, Public Grievances and Pensions",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Attached and Subordinate Offices,"Training Division, Institute of Secretariat Training & Management(ISTM) and Lal Bahadur Shastri National Academy of Administration(LBSNAA)",88.87,0.01045529411764706
"Ministry of Personnel, Public Grievances and Pensions
Demand No. 74
Ministry of Personnel, Public Grievances and Pensions",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Attached and Subordinate Offices,Central Information Commission(CIC) and Public Enterprises Selection Board(PESB),32.46,0.0038188235294117647
"Ministry of Personnel, Public Grievances and Pensions
Demand No. 74
Ministry of Personnel, Public Grievances and Pensions",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat,,184.4,0.021694117647058822
"Ministry of Personnel, Public Grievances and Pensions
Demand No. 74
Ministry of Personnel, Public Grievances and Pensions",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Loans to All India Service(AIS) Officers,,2.0,0.00023529411764705883
"Ministry of Personnel, Public Grievances and Pensions
Demand No. 74
Ministry of Personnel, Public Grievances and Pensions",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,National Programme for Civil Services Capacity Building,,105.69,0.012434117647058825
"Ministry of Personnel, Public Grievances and Pensions
Demand No. 74
Ministry of Personnel, Public Grievances and Pensions",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Training Schemes,,75.81,0.008918823529411765
"Ministry of Personnel, Public Grievances and Pensions
Demand No. 74
Ministry of Personnel, Public Grievances and Pensions",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Scheme for Administrative Reforms,,21.75,0.002558823529411765
"Ministry of Personnel, Public Grievances and Pensions
Demand No. 74
Ministry of Personnel, Public Grievances and Pensions",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Integrated Building for Institute of Secretariat Training and Management (ISTM) and other Institute of Department of Personnel and Training (DoPT),,20.0,0.0023529411764705885
"Ministry of Personnel, Public Grievances and Pensions
Demand No. 74
Ministry of Personnel, Public Grievances and Pensions",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Pensioner's Portal,,3.5,0.00041176470588235296
"Ministry of Personnel, Public Grievances and Pensions
Demand No. 74
Ministry of Personnel, Public Grievances and Pensions",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Institute of Public Administration (IIPA) and National Centre for Good Governance(NCGG),54.5,0.006411764705882353
"Ministry of Personnel, Public Grievances and Pensions
Demand No. 74
Ministry of Personnel, Public Grievances and Pensions",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Autonomous Bodies of DoPT,14.1,0.0016588235294117649
"Ministry of Personnel, Public Grievances and Pensions
Demand No. 74
Ministry of Personnel, Public Grievances and Pensions",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Right to Information( RTI),3.0,0.00035294117647058826
