name0,name1,name2,name3,name4,name5,amounts_inrcr,amounts_usdb
"Ministry of Finance
Demand No. 39
Interest Payments",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Interest on Internal Debt,,821195.75,96.61126470588235
"Ministry of Finance
Demand No. 39
Interest Payments",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,"Interest on Small Savings, Provident Funds etc.","Interest on Small Savings deposits, certificates and operational expenses",184840.39,21.74592823529412
"Ministry of Finance
Demand No. 39
Interest Payments",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,"Interest on Small Savings, Provident Funds etc.",Other Special Deposits,18890.17,2.22237294117647
"Ministry of Finance
Demand No. 39
Interest Payments",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,"Interest on Small Savings, Provident Funds etc.",State Provident Funds,18117.78,2.1315035294117646
"Ministry of Finance
Demand No. 39
Interest Payments",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,"Interest on Small Savings, Provident Funds etc.",Insurance and Pension Funds,7133.73,0.8392623529411765
"Ministry of Finance
Demand No. 39
Interest Payments",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,"Interest on Small Savings, Provident Funds etc.",Special Deposits of Non Government Provident Funds,3969.75,0.4670294117647059
"Ministry of Finance
Demand No. 39
Interest Payments",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Interest on External Debt,,12254.7,1.441729411764706
"Ministry of Finance
Demand No. 39
Interest Payments",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Interest on other obligations,Special bonds to Oil Companies,6848.16,0.8056658823529411
"Ministry of Finance
Demand No. 39
Interest Payments",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Interest on other obligations,Interest on others,1341.92,0.15787294117647058
"Ministry of Finance
Demand No. 39
Interest Payments",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Interest on other obligations,Special bonds issued to Food Corporation of India,911.76,0.10726588235294117
"Ministry of Finance
Demand No. 39
Interest Payments",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Interest on other obligations,Bonds for SBI Rights,834.67,0.09819647058823529
"Ministry of Finance
Demand No. 39
Interest Payments",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Interest on other obligations,Special Bonds to PLI,727.4,0.0855764705882353
"Ministry of Finance
Demand No. 39
Interest Payments",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Interest on other obligations,Special bonds issued to Fertilizer Companies,604.33,0.07109764705882353
"Ministry of Finance
Demand No. 39
Interest Payments",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Prepayment Premium for reduction of debt,,1332.5,0.15676470588235294
"Ministry of Finance
Demand No. 39
Interest Payments",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Interest on Reserve Funds,,967.99,0.11388117647058824
