name0,name1,name2,name3,name4,name5,amounts_inrcr,amounts_usdb
"Ministry of Micro, Small and Medium Enterprises
Demand No. 68
Ministry of Micro, Small and Medium Enterprises",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Prime Minister Employment Generation Programme (PMEGP) and Other Credit Support Schemes,Guarantee Emergency Credit Line (GECL) facility to eligible MSME borrowers,,14100.0,1.6588235294117646
"Ministry of Micro, Small and Medium Enterprises
Demand No. 68
Ministry of Micro, Small and Medium Enterprises",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Prime Minister Employment Generation Programme (PMEGP) and Other Credit Support Schemes,Prime Minister Employment Generation Programme (PMEGP),,2700.0,0.31764705882352945
"Ministry of Micro, Small and Medium Enterprises
Demand No. 68
Ministry of Micro, Small and Medium Enterprises",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Prime Minister Employment Generation Programme (PMEGP) and Other Credit Support Schemes,Credit Support Programme,,500.08,0.05883294117647059
"Ministry of Micro, Small and Medium Enterprises
Demand No. 68
Ministry of Micro, Small and Medium Enterprises",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Infrastructure Development Programme,Raising and Accelerating MSME Performance - RAMP,,1170.0,0.13764705882352943
"Ministry of Micro, Small and Medium Enterprises
Demand No. 68
Ministry of Micro, Small and Medium Enterprises",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Infrastructure Development Programme,Establishment of New Technology Centres,,450.0,0.052941176470588235
"Ministry of Micro, Small and Medium Enterprises
Demand No. 68
Ministry of Micro, Small and Medium Enterprises",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Infrastructure Development Programme,Technology Centre Systems Programme (TCSP) EAP,,350.0,0.041176470588235294
"Ministry of Micro, Small and Medium Enterprises
Demand No. 68
Ministry of Micro, Small and Medium Enterprises",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Infrastructure Development Programme,Micro and Small Enterprise-Cluster Development Programme (MSE-CDP),,150.0,0.01764705882352941
"Ministry of Micro, Small and Medium Enterprises
Demand No. 68
Ministry of Micro, Small and Medium Enterprises",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Infrastructure Development Programme,Tool Rooms & Technical Institutions (TR/TIs),,100.0,0.011764705882352941
"Ministry of Micro, Small and Medium Enterprises
Demand No. 68
Ministry of Micro, Small and Medium Enterprises",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Infrastructure Development Programme,Promotion of MSMEs in NER and Sikkim,,50.0,0.0058823529411764705
"Ministry of Micro, Small and Medium Enterprises
Demand No. 68
Ministry of Micro, Small and Medium Enterprises",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,"Development of Khadi, Village and Coir Industries",Khadi Gramodyog Vikas Yojana,Khadi Vikas Yojana,498.42,0.058637647058823524
