name0,name1,name2,name3,name4,name5,amounts_inrcr,amounts_usdb
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Pradhan Mantri Awas Yojna (PMAY),PMAY-Urban (Schemes financed from Central Road and Infrastructure Fund),Other items of States/UTs Component,23071.64,2.7143105882352945
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Pradhan Mantri Awas Yojna (PMAY),PMAY-Urban (Schemes financed from Central Road and Infrastructure Fund),Interest Payment against loan raised through EBR,1773.0,0.20858823529411766
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Pradhan Mantri Awas Yojna (PMAY),PMAY-Urban (Schemes financed from Central Road and Infrastructure Fund),Other items of Central Component,253.37,0.02980823529411765
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Pradhan Mantri Awas Yojna (PMAY),PMAY-Urban (Schemes financed from Central Road and Infrastructure Fund),Institutional Development for Inclusive Urban Governance,5.0,0.0005882352941176471
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Urban Rejuvenation Mission: AMRUT and Smart Cities Mission,Smart Cities Mission,Mission for Development of 100 Smart Cities,7665.97,0.9018788235294118
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Urban Rejuvenation Mission: AMRUT and Smart Cities Mission,Smart Cities Mission,"City Investment to Innovate, Integrate and Sustain (CITIIS)",334.03,0.03929764705882353
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Urban Rejuvenation Mission: AMRUT and Smart Cities Mission,AMRUT (Atal Mission for Rejuvenation and Urban Transformation),Urban Rejuvenation Mission - 500 Cities,8000.0,0.9411764705882353
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Swachh Bharat Mission,Swachh Bharat Mission (SBM) - Urban,Gross Budgetary Support,5000.0,0.5882352941176471
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,MRTS and Metro Projects,Metro Projects,,19518.0,2.2962352941176474
"Ministry of Housing and Urban Affairs
Demand No. 60
Ministry of Housing and Urban Affairs",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,MRTS and Metro Projects,National Capital Region Transport Corporation,,3596.0,0.4230588235294118
