name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Air Force,Other equipment-Air Force,36223.13,4.261544705882353
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Air Force,Aircrafts and Aeroengines-Air Force,15721.65,1.8496058823529413
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Air Force,Construction Works-Air Force,2342.31,0.27556588235294116
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Air Force,Special Projects,1561.79,0.18374
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Air Force,Heavy and Medium Vehicles-Air Force,947.94,0.11152235294117648
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Air Force,Land-Air Force,340.27,0.04003176470588236
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Navy,Naval Fleet,24200.0,2.847058823529412
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Navy,Other equipment-Navy,9500.0,1.1176470588235294
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Navy,Aircrafts and Aeroengines,7000.0,0.8235294117647058
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Navy,Naval Dockyard/projects,6725.0,0.7911764705882353
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Navy,Construction Works-Navy,1900.1,0.22354117647058824
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Navy,Joint Staff,1838.75,0.21632352941176472
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Navy,Land-Navy,1550.9,0.18245882352941176
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Navy,Heavy and Medium Vehicles,90.0,0.010588235294117647
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Army,Other equipment-Army,21300.0,2.5058823529411764
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Army,Construction Works-Army,6788.54,0.7986517647058823
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Army,Aircrafts and Aeroengines-Army,5500.0,0.6470588235294118
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Army,Heavy and Medium Vehicles,3000.0,0.3529411764705882
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Army,Land-Army,291.0,0.03423529411764706
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Army,Rolling Stock,163.0,0.01917647058823529
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Army,Rashtriya Rifles,100.0,0.011764705882352941
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Army,Ex-Servicemen Contributory Health Scheme,86.0,0.01011764705882353
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Army,National Cadet Corps,13.0,0.0015294117647058824
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Research  and Development,,12850.0,1.511764705882353
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Investment in Public Enterprises,Investment in Public Enterprises,1310.0,0.15411764705882353
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Techonology Development - Assistance for prototype development under make procedure,Projects of the Air Force,1131.62,0.13313176470588234
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Techonology Development - Assistance for prototype development under make procedure,Projects of the Army,100.0,0.011764705882352941
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Inspection - Director General Quality Audit (DGQA),,20.0,0.0023529411764705885
"Ministry of Defence
Demand No. 21
Capital Outlay on Defence Services",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Defence Ordnance Factories,,5.0,0.0005882352941176471
