source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
ROOT,"Ministry of Culture
Demand No. 18
Ministry of Culture",r,r_mocdn1moc,3399.6499999999996,33996499999.999996,399958823.52941173
"Ministry of Culture
Demand No. 18
Ministry of Culture",CENTRE'S EXPENDITURE,r_mocdn1moc,r_mocdn1moc_cse,3399.6499999999996,33996499999.999996,399958823.52941173
CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,r_mocdn1moc_cse,r_mocdn1moc_cse_cssp,650.74,6507400000.0,76557647.05882353
CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,r_mocdn1moc_cse,r_mocdn1moc_cse_eeotc,1702.69,17026900000.0,200316470.5882353
CENTRE'S EXPENDITURE,Other Central Sector Expenditure,r_mocdn1moc_cse,r_mocdn1moc_cse_ocse,1046.22,10462200000.0,123084705.88235295
Central Sector Schemes/Projects,"Centenaries and Anniversaries,  Celebrations and Schemes",r_mocdn1moc_cse_cssp,r_mocdn1moc_cse_cssp_caacas,185.0,1850000000.0,21764705.88235294
Central Sector Schemes/Projects,Development of Libraries and Archives,r_mocdn1moc_cse_cssp,r_mocdn1moc_cse_cssp_dolaa,26.02,260200000.0,3061176.470588235
Central Sector Schemes/Projects,Development of Museums,r_mocdn1moc_cse_cssp,r_mocdn1moc_cse_cssp_dom,183.86,1838600000.0000002,21630588.235294122
Central Sector Schemes/Projects,Global Engagement and International Cooperation,r_mocdn1moc_cse_cssp,r_mocdn1moc_cse_cssp_geaic,25.55,255500000.0,3005882.3529411764
Central Sector Schemes/Projects,Kala Sanskriti Vikas Yojana,r_mocdn1moc_cse_cssp,r_mocdn1moc_cse_cssp_ksvy,210.49,2104900000.0,24763529.411764707
Central Sector Schemes/Projects,National mission on cultural mapping and roadmap,r_mocdn1moc_cse_cssp,r_mocdn1moc_cse_cssp_nmocmar,19.82,198200000.0,2331764.705882353
Establishment Expenditure of the Centre,Archaeological Survey of India (A.S.I),r_mocdn1moc_cse_eeotc,r_mocdn1moc_cse_eeotc_asoiasi,1102.83,11028300000.0,129744705.88235295
Establishment Expenditure of the Centre,Anthropological Survey of India ( An. S.I.),r_mocdn1moc_cse_eeotc,r_mocdn1moc_cse_eeotc_asoiasi,54.33,543300000.0,6391764.705882353
Establishment Expenditure of the Centre,Libraries and Archives,r_mocdn1moc_cse_eeotc,r_mocdn1moc_cse_eeotc_laa,338.75,3387500000.0,39852941.176470585
Establishment Expenditure of the Centre,Museums,r_mocdn1moc_cse_eeotc,r_mocdn1moc_cse_eeotc_m,136.8,1368000000.0,16094117.647058824
Establishment Expenditure of the Centre,Secretariat including Central Secretariat Library,r_mocdn1moc_cse_eeotc,r_mocdn1moc_cse_eeotc_sicsl,69.98,699800000.0,8232941.176470588
Other Central Sector Expenditure,Autonomous Bodies,r_mocdn1moc_cse_ocse,r_mocdn1moc_cse_ocse_ab,996.03,9960300000.0,117180000.0
Other Central Sector Expenditure,Others,r_mocdn1moc_cse_ocse,r_mocdn1moc_cse_ocse_o,50.19,501900000.0,5904705.882352941
Autonomous Bodies,Buddhist Tibetan Institutions and Memorials,r_mocdn1moc_cse_ocse_ab,r_mocdn1moc_cse_ocse_ab_btiam,130.91,1309100000.0,15401176.470588235
Autonomous Bodies,Support to Akademies,r_mocdn1moc_cse_ocse_ab,r_mocdn1moc_cse_ocse_ab_sta,401.27,4012700000.0,47208235.294117644
Autonomous Bodies,Support to Libraries,r_mocdn1moc_cse_ocse_ab,r_mocdn1moc_cse_ocse_ab_stl,106.46,1064599999.9999999,12524705.882352939
Autonomous Bodies,Support to Museums,r_mocdn1moc_cse_ocse_ab,r_mocdn1moc_cse_ocse_ab_stm,357.39,3573900000.0,42045882.35294118
Others,Grantee Bodies,r_mocdn1moc_cse_ocse_o,r_mocdn1moc_cse_ocse_o_gb,50.19,501900000.0,5904705.882352941
