name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Development of Silk Textiles,Central Silk Board,917.77,0.10797294117647059
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Research and Capacity Building,National Technical Textiles Mission.,450.0,0.052941176470588235
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Research and Capacity Building,Textile Cluster Development Scheme,141.54,0.016651764705882352
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Research and Capacity Building,Integrated Scheme for Skill Development,115.0,0.013529411764705882
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Research and Capacity Building,Production Linked Incentive (PLI) Scheme for Textiles,5.0,0.0005882352941176471
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,National Handicraft Development Programme,National Handicrafts Development Programme (NHDP),238.33,0.028038823529411762
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,National Handicraft Development Programme,Handicraft Cluster Development Program - Handicraft Mega Cluster,40.0,0.004705882352941177
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,National Handloom Development Programme,National Handloom Development Programme,200.0,0.023529411764705882
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,PM - MITRA,Raw Material Supply Scheme,160.0,0.018823529411764708
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,PM - MITRA,"Scheme for Protection of the Handlooms and Implementation of the Handlooms (Reservation of Articles for Production) Act, 1985",7.0,0.0008235294117647059
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Development of Jute Industries,Scheme for Development of Jute Sector,100.0,0.011764705882352941
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Development of Jute Industries,Subsidy to Jute Corporation of India towards market operation,42.0,0.004941176470588235
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Textile Infrastructure,Integrated Processing Development Scheme,60.0,0.007058823529411765
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Development of Woollen Textiles,Integrated Wool Development Programme,27.11,0.0031894117647058825
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Public Sector Undertakings,Support to PSU's,222.84,0.026216470588235292
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Statutory and Regulatory Bodies,National Institute of Fashion Technology,104.0,0.01223529411764706
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Statutory and Regulatory Bodies,Assistant to Textiles Committee,56.55,0.006652941176470588
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Textiles Research Association & IJIRA,17.0,0.002
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Institute of Carpet Technology (IICT),6.19,0.0007282352941176472
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Assistance to Sardar Vallbhabhai Patel Institute of Textiles Management,0.5,5.882352941176471e-05
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Contributions to International Institute of Cotton and Cotton Advisory Committee,1.5,0.00017647058823529413
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Development Commissioner (Handloom),,124.96,0.014701176470588235
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Development Commissioner (Handicraft),,119.61,0.014071764705882353
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Textile Commissioner,,63.34,0.007451764705882353
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat,,51.5,0.006058823529411765
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Jute Commissioner,,12.4,0.0014588235294117648
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Export Promotion Studies & Activities,,5.0,0.0005882352941176471
"Ministry of Textiles
Demand No. 98
Ministry of Textiles",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,COP and COP Jute,,0.14,1.647058823529412e-05
