name0,name1,name2,name3,amounts_inrcr,amounts_usdb
"Ministry of Steel
Demand No. 97
Ministry of Steel",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat,43.64,0.005134117647058823
"Ministry of Steel
Demand No. 97
Ministry of Steel",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Flagging of Merchant Ships in India,14.0,0.0016470588235294118
"Ministry of Steel
Demand No. 97
Ministry of Steel",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Scheme for Promotion of Research and Development in Iron and Steel sector,10.0,0.0011764705882352942
"Ministry of Steel
Demand No. 97
Ministry of Steel",CENTRE'S EXPENDITURE,Others,Other Programmes,2.51,0.0002952941176470588
