name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Ministry of Science and Technology
Demand No. 90
Department of Biotechnology",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Biotechnology Research and Development,,1345.0,0.15823529411764706
"Ministry of Science and Technology
Demand No. 90
Department of Biotechnology",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Industrial and Entrepreneurship Development,,300.0,0.03529411764705882
"Ministry of Science and Technology
Demand No. 90
Department of Biotechnology",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Assistance to Autonomous Institutions,902.47,0.1061729411764706
"Ministry of Science and Technology
Demand No. 90
Department of Biotechnology",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,International Centre for Genetic Engineering and Biotechnology (ICGEB),50.0,0.0058823529411764705
"Ministry of Science and Technology
Demand No. 90
Department of Biotechnology",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Public Sector Undertakings,Biotechnology Industry Research Assistance Council,40.0,0.004705882352941177
"Ministry of Science and Technology
Demand No. 90
Department of Biotechnology",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat,,46.39,0.00545764705882353
