name0,name1,name2,name3,name4,name5,amounts_inrcr,amounts_usdb
"Ministry of Law and Justice
Demand No. 65
Law and Justice",TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,EVMs for Election Commission,,,1891.78,0.22256235294117646
"Ministry of Law and Justice
Demand No. 65
Law and Justice",TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,Organs of Elections,Lok Sabha Elections,,180.0,0.021176470588235293
"Ministry of Law and Justice
Demand No. 65
Law and Justice",TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,Organs of Elections,Other Election Expenses,,94.0,0.011058823529411765
"Ministry of Law and Justice
Demand No. 65
Law and Justice",TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,Organs of Elections,Identity Cards to Voters,,18.0,0.0021176470588235297
"Ministry of Law and Justice
Demand No. 65
Law and Justice",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Infrastructure Facilities for Judiciary,Infrastructure Facilities for Judiciary,Infrastructure Facilities for Judiciary,1051.0,0.1236470588235294
"Ministry of Law and Justice
Demand No. 65
Law and Justice",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Infrastructure Facilities for Judiciary,Infrastructure Facilities for Judiciary,Gram Nyayalayas,10.0,0.0011764705882352942
"Ministry of Law and Justice
Demand No. 65
Law and Justice",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,National Legal Services Authority,,200.0,0.023529411764705882
"Ministry of Law and Justice
Demand No. 65
Law and Justice",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,National Judicial Academy,,20.0,0.0023529411764705885
"Ministry of Law and Justice
Demand No. 65
Law and Justice",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Indian Law Institute (ILI),,3.5,0.00041176470588235296
"Ministry of Law and Justice
Demand No. 65
Law and Justice",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,New Delhi International Arbitration Centre,,3.0,0.00035294117647058826
"Ministry of Law and Justice
Demand No. 65
Law and Justice",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Aribitration Council of India (ACI),,2.0,0.00023529411764705883
"Ministry of Law and Justice
Demand No. 65
Law and Justice",CENTRE'S EXPENDITURE,Tax Tribunals,,,,196.0,0.023058823529411764
"Ministry of Law and Justice
Demand No. 65
Law and Justice",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,National Mission for Justice Delivery and Legal Reforms,Designing Innovative Solutions for Holistic Access to Justice in India(DISHA),,40.0,0.004705882352941177
