name0,name1,name2,name3,name4,name5,amounts_inrcr,amounts_usdb
"Ministry of Education
Demand No. 25
Department of School Education and Literacy",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Education Mission,Samagra Shiksha,Support for Samagra Shiksha,37453.46,4.406289411764706
"Ministry of Education
Demand No. 25
Department of School Education and Literacy",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Programme of Mid Day Meal in Schools,Transfer to Prarambhik Shiksha Kosh (PSK),,30000.0,3.5294117647058827
"Ministry of Education
Demand No. 25
Department of School Education and Literacy",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Programme of Mid Day Meal in Schools,Pradhan Mantri Poshan Shakti Nirman (PM POSHAN),,11600.0,1.3647058823529412
"Ministry of Education
Demand No. 25
Department of School Education and Literacy",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Programme of Mid Day Meal in Schools,PM Schools for Rising India (PM SHRI),,4000.0,0.47058823529411764
"Ministry of Education
Demand No. 25
Department of School Education and Literacy",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Programme of Mid Day Meal in Schools,Strengthening Teaching-Learning and Results for States (STARS),,800.0,0.09411764705882353
"Ministry of Education
Demand No. 25
Department of School Education and Literacy",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Programme of Mid Day Meal in Schools,New India Literacy Programme (NILP),,157.0,0.018470588235294117
"Ministry of Education
Demand No. 25
Department of School Education and Literacy",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Kendriya Vidyalaya Sangathan (KVS),,8363.98,0.9839976470588235
"Ministry of Education
Demand No. 25
Department of School Education and Literacy",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Navodaya Vidyalaya Samiti (NVS),,5486.5,0.6454705882352941
"Ministry of Education
Demand No. 25
Department of School Education and Literacy",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,National Council of Educational Research and Training (NCERT),,518.5,0.061
"Ministry of Education
Demand No. 25
Department of School Education and Literacy",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,National Bal Bhawan,,22.38,0.0026329411764705883
"Ministry of Education
Demand No. 25
Department of School Education and Literacy",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Transfer to  Madhyamik and Uchhatar Shiksha Kosh,,6000.0,0.7058823529411764
"Ministry of Education
Demand No. 25
Department of School Education and Literacy",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,National Means cum Merit Scholarship Scheme,,,364.0,0.042823529411764705
