name0,name1,name2,name3,amounts_inrcr,amounts_usdb
"Ministry of Home Affairs
Demand No. 59
Transfers to Puducherry",TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,Central Assistance to Union Territories,3112.75,0.36620588235294116
"Ministry of Home Affairs
Demand No. 59
Transfers to Puducherry",TRANSFERS TO STATES/UTs,Other Grants/Loans/Transfers,Grants towards contribution to Union Territory Disaster Response Fund,5.0,0.0005882352941176471
