name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Remission of Duties and Taxes on Exported Products (RoDTEP),,15069.34,1.7728635294117647
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Rebate on State and Central Taxes and Levies (RoSCTL),,8404.66,0.9887835294117647
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Onetime payment of Arrears.,Service Exports from India Scheme (SEIS).,1390.45,0.16358235294117648
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Onetime payment of Arrears.,Merchandise Export from India Scheme (MEIS).,999.15,0.11754705882352941
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Onetime payment of Arrears.,Target Plus Scheme.,826.14,0.09719294117647059
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Onetime payment of Arrears.,Focus Product Scheme and Market Linked Product Scheme.,301.7,0.03549411764705882
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Onetime payment of Arrears.,Status Holders Incentive Scheme (SHIS).,132.68,0.015609411764705882
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Onetime payment of Arrears.,Incremental Export Incentivisation Scheme (Annual and Quarterly).,119.92,0.014108235294117647
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Onetime payment of Arrears.,Rebate on State and Central Taxes and Levies (RoSCTL).,91.08,0.010715294117647059
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Onetime payment of Arrears.,Focus Market Scheme.,89.89,0.01057529411764706
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Onetime payment of Arrears.,Vishesh Krishi and Gram Udyog Yojna.,72.51,0.008530588235294118
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Onetime payment of Arrears.,Rebate on State Levies Scheme (RoSL).,52.8,0.006211764705882352
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Onetime payment of Arrears.,2 percent Additional Adhoc Bonus Incentive for Mobile Phones.,4.27,0.0005023529411764705
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Union Excise Duties /Central Goods & Service Tax,Collection of Union Excise Duties / Central Goods & Service Tax,5318.33,0.6256858823529412
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Union Excise Duties /Central Goods & Service Tax,Purchase of ready built Accomodation - Office Building,950.0,0.11176470588235295
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Union Excise Duties /Central Goods & Service Tax,Establishment Expenditure of Excise /Central Goods & Service Tax,700.55,0.08241764705882353
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Union Excise Duties /Central Goods & Service Tax,Establishment Expenditure of CGST,625.0,0.07352941176470588
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Union Excise Duties /Central Goods & Service Tax,Purchase of Ready Built Accomodation - Residential Buildings,400.0,0.047058823529411764
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Union Excise Duties /Central Goods & Service Tax,Housing - Maintenance and Repairs,19.0,0.002235294117647059
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Customs,Collection of Customs,2713.11,0.3191894117647059
"Ministry of Finance
Demand No. 37
Indirect Taxes",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Customs,Establishment Expenditure of Customs,230.0,0.027058823529411764
