source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
ROOT,"Ministry of Education
Demand No. 25
Department of School Education and Literacy",r,r_moedn2doseal,68765.84,687658400000.0,8090098823.529411
"Ministry of Education
Demand No. 25
Department of School Education and Literacy",CENTRE'S EXPENDITURE,r_moedn2doseal,r_moedn2doseal_cse,14755.37,147553700000.0,1735925882.3529413
"Ministry of Education
Demand No. 25
Department of School Education and Literacy",TRANSFERS TO STATES/UTs,r_moedn2doseal,r_moedn2doseal_ttsu,54010.47,540104700000.0,6354172941.176471
CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,r_moedn2doseal_cse,r_moedn2doseal_cse_cssp,364.01,3640100000.0,42824705.88235294
CENTRE'S EXPENDITURE,Other Central Sector Expenditure,r_moedn2doseal_cse,r_moedn2doseal_cse_ocse,14391.36,143913600000.0,1693101176.4705882
Central Sector Schemes/Projects,National Means cum Merit Scholarship Scheme,r_moedn2doseal_cse_cssp,r_moedn2doseal_cse_cssp_nmcmss,364.0,3640000000.0,42823529.4117647
Other Central Sector Expenditure,Autonomous Bodies,r_moedn2doseal_cse_ocse,r_moedn2doseal_cse_ocse_ab,14391.36,143913600000.0,1693101176.4705882
Other Central Sector Expenditure,Others,r_moedn2doseal_cse_ocse,r_moedn2doseal_cse_ocse_o,6000.0,60000000000.0,705882352.9411764
Autonomous Bodies,Kendriya Vidyalaya Sangathan (KVS),r_moedn2doseal_cse_ocse_ab,r_moedn2doseal_cse_ocse_ab_kvsk,8363.98,83639800000.0,983997647.0588236
Autonomous Bodies,National Bal Bhawan,r_moedn2doseal_cse_ocse_ab,r_moedn2doseal_cse_ocse_ab_nbb,22.38,223800000.0,2632941.1764705884
Autonomous Bodies,National Council of Educational Research and Training (NCERT),r_moedn2doseal_cse_ocse_ab,r_moedn2doseal_cse_ocse_ab_ncoeratn,518.5,5185000000.0,61000000.0
Autonomous Bodies,Navodaya Vidyalaya Samiti (NVS),r_moedn2doseal_cse_ocse_ab,r_moedn2doseal_cse_ocse_ab_nvsn,5486.5,54865000000.0,645470588.2352941
Others,Transfer to  Madhyamik and Uchhatar Shiksha Kosh,r_moedn2doseal_cse_ocse_o,r_moedn2doseal_cse_ocse_o_ttmausk,6000.0,60000000000.0,705882352.9411764
TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,r_moedn2doseal_ttsu,r_moedn2doseal_ttsu_css,54010.47,540104700000.0,6354172941.176471
Centrally Sponsored Schemes,National Education Mission,r_moedn2doseal_ttsu_css,r_moedn2doseal_ttsu_css_nem,37453.47,374534700000.0,4406290588.235294
Centrally Sponsored Schemes,National Programme of Mid Day Meal in Schools,r_moedn2doseal_ttsu_css,r_moedn2doseal_ttsu_css_npomdmis,46557.0,465570000000.0,5477294117.6470585
National Education Mission,Samagra Shiksha,r_moedn2doseal_ttsu_css_nem,r_moedn2doseal_ttsu_css_nem_ss,37453.47,374534700000.0,4406290588.235294
Samagra Shiksha,Support for Samagra Shiksha,r_moedn2doseal_ttsu_css_nem_ss,r_moedn2doseal_ttsu_css_nem_ss_sfss,37453.46,374534600000.0,4406289411.764706
National Programme of Mid Day Meal in Schools,New India Literacy Programme (NILP),r_moedn2doseal_ttsu_css_npomdmis,r_moedn2doseal_ttsu_css_npomdmis_nilpn,157.0,1570000000.0,18470588.23529412
National Programme of Mid Day Meal in Schools,Pradhan Mantri Poshan Shakti Nirman (PM POSHAN),r_moedn2doseal_ttsu_css_npomdmis,r_moedn2doseal_ttsu_css_npomdmis_pmpsnpp,11600.0,116000000000.0,1364705882.3529413
National Programme of Mid Day Meal in Schools,PM Schools for Rising India (PM SHRI),r_moedn2doseal_ttsu_css_npomdmis,r_moedn2doseal_ttsu_css_npomdmis_psfrips,4000.0,40000000000.0,470588235.2941176
National Programme of Mid Day Meal in Schools,Strengthening Teaching-Learning and Results for States (STARS),r_moedn2doseal_ttsu_css_npomdmis,r_moedn2doseal_ttsu_css_npomdmis_stlarfss,800.0,8000000000.0,94117647.05882353
National Programme of Mid Day Meal in Schools,Transfer to Prarambhik Shiksha Kosh (PSK),r_moedn2doseal_ttsu_css_npomdmis,r_moedn2doseal_ttsu_css_npomdmis_ttpskp,30000.0,300000000000.0,3529411764.7058825
