source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
ROOT,"Ministry of Fisheries, Animal Husbandry and Dairying
Demand No. 43
Department of Fisheries",r,r_mofahaddn4dof,2248.77,22487700000.0,264561176.47058824
"Ministry of Fisheries, Animal Husbandry and Dairying
Demand No. 43
Department of Fisheries",CENTRE'S EXPENDITURE,r_mofahaddn4dof,r_mofahaddn4dof_cse,223.76999999999998,2237700000.0,26325882.352941178
"Ministry of Fisheries, Animal Husbandry and Dairying
Demand No. 43
Department of Fisheries",TRANSFERS TO STATES/UTs,r_mofahaddn4dof,r_mofahaddn4dof_ttsu,2025.0,20250000000.0,238235294.11764705
CENTRE'S EXPENDITURE,Fisheries Institute,r_mofahaddn4dof_cse,r_mofahaddn4dof_cse_fi,169.24,1692400000.0,19910588.23529412
CENTRE'S EXPENDITURE,Other Central Sector Expenditure,r_mofahaddn4dof_cse,r_mofahaddn4dof_cse_ocse,24.2,242000000.0,2847058.8235294116
CENTRE'S EXPENDITURE,Total - Secretariat,r_mofahaddn4dof_cse,r_mofahaddn4dof_cse_ts,30.33,303300000.0,3568235.294117647
Other Central Sector Expenditure,Autonomous Bodies,r_mofahaddn4dof_cse_ocse,r_mofahaddn4dof_cse_ocse_ab,19.0,190000000.0,2235294.117647059
Other Central Sector Expenditure,Statutory and Regulatory Bodies,r_mofahaddn4dof_cse_ocse,r_mofahaddn4dof_cse_ocse_sarb,5.2,52000000.0,611764.7058823529
Autonomous Bodies,National Fisheries Development Board,r_mofahaddn4dof_cse_ocse_ab,r_mofahaddn4dof_cse_ocse_ab_nfdb,19.0,190000000.0,2235294.117647059
Statutory and Regulatory Bodies,Coastal Aquaculture Authority,r_mofahaddn4dof_cse_ocse_sarb,r_mofahaddn4dof_cse_ocse_sarb_caa,5.2,52000000.0,611764.7058823529
TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,r_mofahaddn4dof_ttsu,r_mofahaddn4dof_ttsu_css,2025.0,20250000000.0,238235294.11764705
Centrally Sponsored Schemes,Blue Revolution,r_mofahaddn4dof_ttsu_css,r_mofahaddn4dof_ttsu_css_br,2025.0,20250000000.0,238235294.11764705
Blue Revolution,Fisheries and Aquaculture Infrastructure Development Fund,r_mofahaddn4dof_ttsu_css_br,r_mofahaddn4dof_ttsu_css_br_faaidf,25.0,250000000.0,2941176.470588235
Blue Revolution,Pradhan Mantri Matsya Sampada Yojana ( PMMSY),r_mofahaddn4dof_ttsu_css_br,r_mofahaddn4dof_ttsu_css_br_pmmsyp,2000.0,20000000000.0,235294117.6470588
