source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
ROOT,"Ministry of Defence
Demand No. 19
Ministry of Defence (Civil)",r,r_moddn1modc,22841.550000000003,228415500000.00003,2687241176.4705887
"Ministry of Defence
Demand No. 19
Ministry of Defence (Civil)",CENTRE'S EXPENDITURE,r_moddn1modc,r_moddn1modc_cse,22841.550000000003,228415500000.00003,2687241176.4705887
CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,r_moddn1modc_cse,r_moddn1modc_cse_cssp,6005.0,60050000000.0,706470588.2352941
CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,r_moddn1modc_cse,r_moddn1modc_cse_eeotc,16687.56,166875600000.0,1963242352.9411764
CENTRE'S EXPENDITURE,Other Central Sector Expenditure,r_moddn1modc_cse,r_moddn1modc_cse_ocse,-80.06,-800600000.0,-9418823.529411765
Central Sector Schemes/Projects,Works executed by Border Roads Development Board,r_moddn1modc_cse_cssp,r_moddn1modc_cse_cssp_webbrdb,6005.0,60050000000.0,706470588.2352941
Works executed by Border Roads Development Board,Grants to States for Strategic Roads,r_moddn1modc_cse_cssp_webbrdb,r_moddn1modc_cse_cssp_webbrdb_gtsfsr,55.0,550000000.0,6470588.235294118
Works executed by Border Roads Development Board,Other works,r_moddn1modc_cse_cssp_webbrdb,r_moddn1modc_cse_cssp_webbrdb_ow,950.0,9500000000.0,111764705.88235295
Works executed by Border Roads Development Board,Works under Border Roads Development Board,r_moddn1modc_cse_cssp_webbrdb,r_moddn1modc_cse_cssp_webbrdb_wubrdb,5000.0,50000000000.0,588235294.117647
Grants to States for Strategic Roads,Gross Budgetary Support,r_moddn1modc_cse_cssp_webbrdb_gtsfsr,r_moddn1modc_cse_cssp_webbrdb_gtsfsr_gbs,55.0,550000000.0,6470588.235294118
Other works,Gross Budgetary Support,r_moddn1modc_cse_cssp_webbrdb_ow,r_moddn1modc_cse_cssp_webbrdb_ow_gbs,950.0,9500000000.0,111764705.88235295
Establishment Expenditure of the Centre,Armed Forces Tribunal,r_moddn1modc_cse_eeotc,r_moddn1modc_cse_eeotc_aft,49.0,490000000.0,5764705.882352941
Establishment Expenditure of the Centre,Border Roads Development Board Secretariat,r_moddn1modc_cse_eeotc,r_moddn1modc_cse_eeotc_brdbs,4174.75,41747500000.0,491147058.8235294
Establishment Expenditure of the Centre,Coast Guard Organisation,r_moddn1modc_cse_eeotc,r_moddn1modc_cse_eeotc_cgo,7197.47,71974700000.0,846761176.4705882
Establishment Expenditure of the Centre,Defence Estates Organisation,r_moddn1modc_cse_eeotc,r_moddn1modc_cse_eeotc_deo,615.76,6157600000.0,72442352.94117647
Establishment Expenditure of the Centre,Jammu  and Kashmir Light Infantry,r_moddn1modc_cse_eeotc,r_moddn1modc_cse_eeotc_jakli,1797.71,17977100000.0,211495294.11764705
Establishment Expenditure of the Centre,Secretariat General Services,r_moddn1modc_cse_eeotc,r_moddn1modc_cse_eeotc_sgs,2852.87,28528700000.0,335631764.7058824
Other Central Sector Expenditure,Others,r_moddn1modc_cse_ocse,r_moddn1modc_cse_ocse_o,-80.06,-800600000.0,-9418823.529411765
Others,Housing,r_moddn1modc_cse_ocse_o,r_moddn1modc_cse_ocse_o_h,91.99,919900000.0,10822352.94117647
Others,Public Works,r_moddn1modc_cse_ocse_o,r_moddn1modc_cse_ocse_o_pw,-172.05,-1720500000.0,-20241176.470588237
Housing,Maintenance and Repairs to Defence Accounts Department/Defence  Estates Organisation/Canteen Stores Deparment Staff Quarters,r_moddn1modc_cse_ocse_o_h,r_moddn1modc_cse_ocse_o_h_martdaddeocsdsq,67.44,674400000.0,7934117.647058823
Housing,Residential Housing facilities to Defence Accounts Department/Defence Estate Orgnaisation/Canteen Stores Department -Staff Quaters,r_moddn1modc_cse_ocse_o_h,r_moddn1modc_cse_ocse_o_h_rhftdaddeocsdsq,24.55,245500000.0,2888235.294117647
Public Works,Capital Outlay for construction of Defence Accounts Department/Defence Estates Organisation/Armed Forces Tribunal- Other Buildings,r_moddn1modc_cse_ocse_o_pw,r_moddn1modc_cse_ocse_o_pw_cofcodaddeoaftob,55.5,555000000.0,6529411.764705882
Public Works,Canteen Stores Department,r_moddn1modc_cse_ocse_o_pw,r_moddn1modc_cse_ocse_o_pw_csd,-229.05,-2290500000.0,-26947058.82352941
Public Works,Miscellaneous Loans,r_moddn1modc_cse_ocse_o_pw,r_moddn1modc_cse_ocse_o_pw_ml,1.5,15000000.0,176470.58823529413
