source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
ROOT,"Ministry of Food Processing Industries
Demand No. 45
Ministry of Food Processing Industries",r,r_mofpidn4mofpi,3160.6099999999997,31606099999.999996,371836470.58823526
"Ministry of Food Processing Industries
Demand No. 45
Ministry of Food Processing Industries",CENTRE'S EXPENDITURE,r_mofpidn4mofpi,r_mofpidn4mofpi_cse,2521.56,25215600000.0,296654117.64705884
"Ministry of Food Processing Industries
Demand No. 45
Ministry of Food Processing Industries",TRANSFERS TO STATES/UTs,r_mofpidn4mofpi,r_mofpidn4mofpi_ttsu,639.05,6390500000.0,75182352.94117647
CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,r_mofpidn4mofpi_cse,r_mofpidn4mofpi_cse_cssp,2453.24,24532399999.999996,288616470.58823526
CENTRE'S EXPENDITURE,Other Central Sector Expenditure,r_mofpidn4mofpi_cse,r_mofpidn4mofpi_cse_ocse,68.32,683199999.9999999,8037647.058823528
Central Sector Schemes/Projects,Production-Linked Incentive Scheme for Food Processing Industry,r_mofpidn4mofpi_cse_cssp,r_mofpidn4mofpi_cse_cssp_plisffpi,1530.0,15300000000.0,180000000.0
Central Sector Schemes/Projects,Pradhan Mantri Kisan Sampada Yojana,r_mofpidn4mofpi_cse_cssp,r_mofpidn4mofpi_cse_cssp_pmksy,923.24,9232400000.0,108616470.58823529
Other Central Sector Expenditure,Autonomous Bodies,r_mofpidn4mofpi_cse_ocse,r_mofpidn4mofpi_cse_ocse_ab,68.32,683199999.9999999,8037647.058823528
Autonomous Bodies,National Institute of Food Technology Entrepreneurship and Management (NIFTEM)-KUNDLI,r_mofpidn4mofpi_cse_ocse_ab,r_mofpidn4mofpi_cse_ocse_ab_niofteamnk,38.26,382600000.0,4501176.470588235
Autonomous Bodies,National Institute of Food Technology Entrepreneurship and Management (NIFTEM)-THANJAVUR,r_mofpidn4mofpi_cse_ocse_ab,r_mofpidn4mofpi_cse_ocse_ab_niofteamnt,30.06,300600000.0,3536470.588235294
TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,r_mofpidn4mofpi_ttsu,r_mofpidn4mofpi_ttsu_css,639.05,6390500000.0,75182352.94117647
Centrally Sponsored Schemes,Prime Minister Formalisation of Micro Food Processing Enterprises Scheme (PM FME),r_mofpidn4mofpi_ttsu_css,r_mofpidn4mofpi_ttsu_css_pmfomfpespf,639.05,6390500000.0,75182352.94117647
