source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
ROOT,"Ministry of Power
Demand No. 79
Ministry of Power",r,r_mopdn7mop,20671.32,206713200000.0,2431920000.0
"Ministry of Power
Demand No. 79
Ministry of Power",CENTRE'S EXPENDITURE,r_mopdn7mop,r_mopdn7mop_cse,20671.32,206713200000.0,2431920000.0
CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,r_mopdn7mop_cse,r_mopdn7mop_cse_cssp,16108.92,161089200000.0,1895167058.8235295
CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,r_mopdn7mop_cse,r_mopdn7mop_cse_eeotc,249.92,2499200000.0,29402352.94117647
CENTRE'S EXPENDITURE,Other Central Sector Expenditure,r_mopdn7mop_cse,r_mopdn7mop_cse_ocse,4312.48,43124799999.99999,507350588.23529404
Central Sector Schemes/Projects,Conservation and Energy Efficiency,r_mopdn7mop_cse_cssp,r_mopdn7mop_cse_cssp_caee,30.9,309000000.0,3635294.117647059
Central Sector Schemes/Projects,Power System Development Fund,r_mopdn7mop_cse_cssp,r_mopdn7mop_cse_cssp_psdf,1000.0,10000000000.0,117647058.8235294
Central Sector Schemes/Projects,Strengthening of Power Systems,r_mopdn7mop_cse_cssp,r_mopdn7mop_cse_cssp_sops,2902.62,29026200000.0,341484705.88235295
Conservation and Energy Efficiency,Energy Conservation Schemes,r_mopdn7mop_cse_cssp_caee,r_mopdn7mop_cse_cssp_caee_ecs,30.9,309000000.0,3635294.117647059
Energy Conservation Schemes,Energy Conservation,r_mopdn7mop_cse_cssp_caee_ecs,r_mopdn7mop_cse_cssp_caee_ecs_ec,30.9,309000000.0,3635294.117647059
Strengthening of Power Systems,Strengthening of Power Systems,r_mopdn7mop_cse_cssp_sops,r_mopdn7mop_cse_cssp_sops_sops,2902.62,29026200000.0,341484705.88235295
Strengthening of Power Systems,Green Energy Corridors,r_mopdn7mop_cse_cssp_sops_sops,r_mopdn7mop_cse_cssp_sops_sops_gec,1.0,10000000.0,117647.05882352941
Strengthening of Power Systems,Interest Subsidy to National Electricity Fund,r_mopdn7mop_cse_cssp_sops_sops,r_mopdn7mop_cse_cssp_sops_sops_istnef,500.0,5000000000.0,58823529.4117647
Strengthening of Power Systems,Power System Improvement in North Eastern States excluding Arunachal Pradesh and Sikkim (EAP Component),r_mopdn7mop_cse_cssp_sops_sops,r_mopdn7mop_cse_cssp_sops_sops_psiineseapasec,469.95,4699500000.0,55288235.294117644
Strengthening of Power Systems,Power System Improvement in North Eastern States excluding Arunachal Pradesh and Sikkim (Program Component),r_mopdn7mop_cse_cssp_sops_sops,r_mopdn7mop_cse_cssp_sops_sops_psiineseapaspc,517.05,5170500000.0,60829411.76470588
Strengthening of Power Systems,Smart Grids,r_mopdn7mop_cse_cssp_sops_sops,r_mopdn7mop_cse_cssp_sops_sops_sg,14.62,146200000.0,1720000.0
Strengthening of Power Systems,Strengthening of Transmission System in the States of Arunachal Pradesh and Sikkim,r_mopdn7mop_cse_cssp_sops_sops,r_mopdn7mop_cse_cssp_sops_sops_sotsitsoapas,1400.0,14000000000.0,164705882.3529412
Establishment Expenditure of the Centre,Secretariat,r_mopdn7mop_cse_eeotc,r_mopdn7mop_cse_eeotc_s,60.72,607200000.0,7143529.411764706
Establishment Expenditure of the Centre,Statutory Authorities,r_mopdn7mop_cse_eeotc,r_mopdn7mop_cse_eeotc_sa,189.2,1892000000.0,22258823.529411763
Other Central Sector Expenditure,Autonomous Bodies,r_mopdn7mop_cse_ocse,r_mopdn7mop_cse_ocse_ab,243.0,2430000000.0,28588235.29411765
Other Central Sector Expenditure,Others,r_mopdn7mop_cse_ocse,r_mopdn7mop_cse_ocse_o,138.14,1381399999.9999998,16251764.70588235
Other Central Sector Expenditure,Public Sector Undertakings,r_mopdn7mop_cse_ocse,r_mopdn7mop_cse_ocse_psu,3931.34,39313400000.0,462510588.2352941
Autonomous Bodies,Training and Research,r_mopdn7mop_cse_ocse_ab,r_mopdn7mop_cse_ocse_ab_tar,243.0,2430000000.0,28588235.29411765
Training and Research,Central Power Research Institute,r_mopdn7mop_cse_ocse_ab_tar,r_mopdn7mop_cse_ocse_ab_tar_cpri,208.0,2080000000.0,24470588.23529412
Training and Research,National Power Training Institute,r_mopdn7mop_cse_ocse_ab_tar,r_mopdn7mop_cse_ocse_ab_tar_npti,35.0,350000000.0,4117647.0588235296
Others,Manufacturing Zones under Atmanirbhar Bharat Package,r_mopdn7mop_cse_ocse_o,r_mopdn7mop_cse_ocse_o_mzuabp,100.0,1000000000.0,11764705.88235294
Others,Payment Pertaining to International Arbitration Case,r_mopdn7mop_cse_ocse_o,r_mopdn7mop_cse_ocse_o_pptiac,12.0,120000000.0,1411764.705882353
Others,Payment to SDMC- Badarpur Thermal Power Station,r_mopdn7mop_cse_ocse_o,r_mopdn7mop_cse_ocse_o_ptsbtps,16.08,160799999.99999997,1891764.7058823525
Others,Support for cost of enabling infrastructure i.e Roads/ Bridge etc,r_mopdn7mop_cse_ocse_o,r_mopdn7mop_cse_ocse_o_sfcoeiierbe,10.0,100000000.0,1176470.5882352942
Public Sector Undertakings,Assistance to CPSUs,r_mopdn7mop_cse_ocse_psu,r_mopdn7mop_cse_ocse_psu_atc,3931.34,39313400000.0,462510588.2352941
Assistance to CPSUs,Central Assistance for Pakul Dul HEP under J and K PMDP 2015 as grant to Chenab Valley Power Projects Private Limited (CVPPPL),r_mopdn7mop_cse_ocse_psu_atc,r_mopdn7mop_cse_ocse_psu_atc_cafpdhujakp2agtcvppplc,1448.0,14480000000.0,170352941.17647058
Assistance to CPSUs,GoI fully serviced bond issue expenditure and interest (PFC bonds),r_mopdn7mop_cse_ocse_psu_atc,r_mopdn7mop_cse_ocse_psu_atc_gfsbieaipb,376.4,3764000000.0,44282352.941176474
Assistance to CPSUs,GoI fully serviced bond issue expenditure and interest (REC Bonds),r_mopdn7mop_cse_ocse_psu_atc,r_mopdn7mop_cse_ocse_psu_atc_gfsbieairb,1945.56,19455600000.0,228889411.7647059
Assistance to CPSUs,Grant towards cost of downstream protection work of Subansiri Lower Project (NHPC),r_mopdn7mop_cse_ocse_psu_atc,r_mopdn7mop_cse_ocse_psu_atc_gtcodpwoslpn,56.98,569800000.0,6703529.411764706
Assistance to CPSUs,Reimbursement of Claim for any expenditure already incurred by NTPC on Lohari Nagpala Hydro Power,r_mopdn7mop_cse_ocse_psu_atc,r_mopdn7mop_cse_ocse_psu_atc_rocfaeaibnolnhp,104.4,1044000000.0,12282352.94117647
